id,title_english,title_original,director,country,winner,festival,year_festival,link_film,link_director
1038,Chinese Box,N/A,Wayne Wang,United States,0,venice,1997,https://en.wikipedia.org/wiki/Chinese_Box,https://en.wikipedia.org/wiki/Wayne_Wang
1039,Dry Cleaning,Nettoyage à sec,Anne Fontaine,France,0,venice,1997,https://en.wikipedia.org/wiki/Dry_Cleaning_(film),https://en.wikipedia.org/wiki/Anne_Fontaine_(filmmaker)
1040,Fireworks,Hana-bi,Takeshi Kitano,Japan,1,venice,1997,https://en.wikipedia.org/wiki/Hana-bi,https://en.wikipedia.org/wiki/Takeshi_Kitano
1041,Hardboiled Egg,Ovosodo,Paolo Virzì,Italy,0,venice,1997,https://en.wikipedia.org/wiki/Ovosodo,https://en.wikipedia.org/wiki/Paolo_Virz%C3%AC
1042,The Informant,N/A,Jim McBride,"United States, Ireland",0,venice,1997,https://en.wikipedia.org/wiki/The_Informant_(1997_film),https://en.wikipedia.org/wiki/Jim_McBride
1043,Keep Cool,You hua hao hao shuo,Yimou Zhang,China,0,venice,1997,https://en.wikipedia.org/wiki/Keep_Cool_(film),https://en.wikipedia.org/wiki/Yimou_Zhang
1044,Love Stories,Historie milosne,Jerzy Stuhr,Poland,0,venice,1997,https://en.wikipedia.org/wiki/Love_Stories,https://en.wikipedia.org/wiki/Jerzy_Stuhr
1045,"Niagara, Niagara",N/A,Bob Gosse,"United States, Canada",0,venice,1997,"https://en.wikipedia.org/wiki/Niagara,_Niagara",https://en.wikipedia.org/wiki/Bob_Gosse
1046,One Night Stand,N/A,Mike Figgis,United States,0,venice,1997,https://en.wikipedia.org/wiki/One_Night_Stand_(1997_film),https://en.wikipedia.org/wiki/Mike_Figgis
1047,Ossos,N/A,Pedro Costa,"Portugal, France, Denmark",0,venice,1997,https://en.wikipedia.org/wiki/Ossos,https://en.wikipedia.org/wiki/Pedro_Costa
1048,The Oyster and the Wind,A Ostra e o Vento,Walter Lima Jr.,Brazil,0,venice,1997,N/A,https://en.wikipedia.org/wiki/Walter_Lima_Jr.
1049,Round the Moons Between Earth and Sea,Giro di lune tra terra e mare,Giuseppe M. Gaudino,"Italy, Germany",0,venice,1997,N/A,https://en.wikipedia.org/wiki/Giuseppe_M._Gaudino
1050,Seventh Heaven,Le Septième ciel,Benoît Jacquot,France,0,venice,1997,https://en.wikipedia.org/wiki/Seventh_Heaven_(1997_film),https://en.wikipedia.org/wiki/Beno%C3%AEt_Jacquot
1051,The Thief,Vor,Pavel Chukhraj,Russia,0,venice,1997,https://en.wikipedia.org/wiki/The_Thief_(1997_film),https://en.wikipedia.org/wiki/Pavel_Chukhraj
1052,The Vesuvians,I vesuviani,"Pappi Corsicato, Antonio Capuano,Antonietta de Lillo, Stefano Incerti,Mario Martone",Italy,0,venice,1997,https://en.wikipedia.org/wiki/The_Vesuvians,https://en.wikipedia.org/wiki/Pappi_Corsicato https://en.wikipedia.org/wiki/Antonio_Capuano_(director) https://en.wikipedia.org/w/index.php?title=Antonietta_de_Lillo&action=edit&redlink=1 https://en.wikipedia.org/wiki/Stefano_Incerti https://en.wikipedia.org/wiki/Mario_Martone
1053,Wild Games,Combat de fauves,Benoit Lamy,"Belgium, Germany, France",0,venice,1997,N/A,https://en.wikipedia.org/wiki/Benoit_Lamy
1054,The Winter Guest,N/A,Alan Rickman,United Kingdom,0,venice,1997,https://en.wikipedia.org/wiki/The_Winter_Guest,https://en.wikipedia.org/wiki/Alan_Rickman
1055,Autumn Tale,Conte d'automne,Eric Rohmer,France,0,venice,1998,https://en.wikipedia.org/wiki/Autumn_Tale,https://en.wikipedia.org/wiki/Eric_Rohmer
1056,"Black Cat, White Cat","Crna macka, beli macor",Emir Kusturica,"France, Germany,  Yugoslavia",0,venice,1998,"https://en.wikipedia.org/wiki/Black_Cat,_White_Cat",https://en.wikipedia.org/wiki/Emir_Kusturica
1057,Bulworth,N/A,Warren Beatty,United States,0,venice,1998,https://en.wikipedia.org/wiki/Bulworth,https://en.wikipedia.org/wiki/Warren_Beatty
1058,Clouds,La Nube,Fernando E. Solanas,"France, Argentina",0,venice,1998,N/A,https://en.wikipedia.org/wiki/Fernando_E._Solanas
1059,Dancing at Lughnasa,N/A,Pat O'Connor,"Ireland, United States",0,venice,1998,https://en.wikipedia.org/wiki/Dancing_at_Lughnasa_(film),https://en.wikipedia.org/wiki/Pat_O%27Connor_(director)
1060,The Garden of Eden,I giardini dell'Eden,Alessandro D'Alatri,Italy,0,venice,1998,https://en.wikipedia.org/wiki/The_Garden_of_Eden_(1998_film),https://en.wikipedia.org/wiki/Alessandro_D%27Alatri
1061,Hilary and Jackie,N/A,Anand Tucker,United Kingdom,0,venice,1998,https://en.wikipedia.org/wiki/Hilary_and_Jackie,https://en.wikipedia.org/wiki/Anand_Tucker
1062,Hurlyburly,N/A,Anthony Drazan,United States,0,venice,1998,https://en.wikipedia.org/wiki/Hurlyburly_(film),https://en.wikipedia.org/wiki/Anthony_Drazan
1063,Little Teachers,I piccoli maestri,Daniele Luchetti,Italy,0,venice,1998,https://en.wikipedia.org/wiki/Little_Teachers,https://en.wikipedia.org/wiki/Daniele_Luchetti
1064,Lovers of the Arctic Circle,Los amantes del círculo polar,Julio Medem,Spain,0,venice,1998,https://en.wikipedia.org/wiki/Lovers_of_the_Arctic_Circle_(film),https://en.wikipedia.org/wiki/Julio_Medem
1065,New Rose Hotel,N/A,Abel Ferrara,United States,0,venice,1998,https://en.wikipedia.org/wiki/New_Rose_Hotel_(film),https://en.wikipedia.org/wiki/Abel_Ferrara
1066,Next Stop Paradise,Terminus Paradis,Lucian Pintilie,Romania,0,venice,1998,https://en.wikipedia.org/wiki/Next_Stop_Paradise_(1998_film),https://en.wikipedia.org/wiki/Lucian_Pintilie
1067,Place Vendôme,N/A,Nicole Garcia,France,0,venice,1998,https://en.wikipedia.org/wiki/Place_Vend%C3%B4me_(film),https://en.wikipedia.org/wiki/Nicole_Garcia
1068,Rounders,N/A,John Dahl,United States,0,venice,1998,https://en.wikipedia.org/wiki/Rounders_(film),https://en.wikipedia.org/wiki/John_Dahl
1069,Run Lola Run,Lola rennt,Tom Tykwer,Germany,0,venice,1998,https://en.wikipedia.org/wiki/Run_Lola_Run,https://en.wikipedia.org/wiki/Tom_Tykwer
1070,Shooting the Moon,L'Albero delle pere,Francesca Archibugi,Italy,0,venice,1998,https://en.wikipedia.org/wiki/Shooting_the_Moon,https://en.wikipedia.org/wiki/Francesca_Archibugi
1071,The Silence,Sokout,Mohsen Makhmalbaf,"Iran, Tajikistan, France",0,venice,1998,https://en.wikipedia.org/wiki/The_Silence_(1998_film),https://en.wikipedia.org/wiki/Mohsen_Makhmalbaf
1072,Stolen Life,Voleur de vie,Yves Angelo,France,0,venice,1998,https://en.wikipedia.org/wiki/Stolen_Life_(1998_film),https://en.wikipedia.org/wiki/Yves_Angelo
1073,Traffic,Tráfico,João Botelho,"Portugal, France, Denmark",0,venice,1998,https://en.wikipedia.org/w/index.php?title=Tr%C3%A1fico&action=edit&redlink=1,https://en.wikipedia.org/wiki/Jo%C3%A3o_Botelho
1074,The Way We Laughed,Così ridevano,Gianni Amelio,Italy,1,venice,1998,https://en.wikipedia.org/wiki/The_Way_We_Laughed,https://en.wikipedia.org/wiki/Gianni_Amelio
1075,Appassionate,N/A,Tonino De Bernardi[4],Italy,0,venice,1999,N/A,https://en.wikipedia.org#cite_note-4
1076,The Cider House Rules,N/A,Lasse Hallström,United States,0,venice,1999,https://en.wikipedia.org/wiki/The_Cider_House_Rules_(film),https://en.wikipedia.org/wiki/Lasse_Hallstr%C3%B6m
1077,Crazy in Alabama,N/A,Antonio Banderas,United States,0,venice,1999,https://en.wikipedia.org/wiki/Crazy_in_Alabama,https://en.wikipedia.org/wiki/Antonio_Banderas
1078,Empty Days,Rien à faire,Marion Vernoux,France,0,venice,1999,https://en.wikipedia.org/wiki/Empty_Days,https://en.wikipedia.org/wiki/Marion_Vernoux
1079,Holy Smoke!,N/A,Jane Campion,Australia,0,venice,1999,https://en.wikipedia.org/wiki/Holy_Smoke!,https://en.wikipedia.org/wiki/Jane_Campion
1080,Jesus' Son,N/A,Alison Maclean,"Canada, United States",0,venice,1999,https://en.wikipedia.org/wiki/Jesus%27_Son_(film),https://en.wikipedia.org/wiki/Alison_Maclean
1081,Lies,Gojitmal,Jang Sun-woo,South Korea,0,venice,1999,https://en.wikipedia.org/wiki/Lies_(1999_film),https://en.wikipedia.org/wiki/Jang_Sun-woo
1082,Mal,N/A,Alberto Seixas Santos,Portugal,0,venice,1999,https://en.wikipedia.org/w/index.php?title=Mal_(film)&action=edit&redlink=1,https://en.wikipedia.org/wiki/Alberto_Seixas_Santos
1083,Night Wind,Le vent de la nuit,Philippe Garrel,"France, Italy, Switzerland",0,venice,1999,https://en.wikipedia.org/wiki/Le_vent_de_la_nuit,https://en.wikipedia.org/wiki/Philippe_Garrel
1084,No Scandal,Pas de scandale,Benoît Jacquot,France,0,venice,1999,https://en.wikipedia.org/wiki/No_Scandal,https://en.wikipedia.org/wiki/Beno%C3%AEt_Jacquot
1085,Northern Skirts,Nordrand,Barbara Albert,"Austria, Germany, Switzerland",0,venice,1999,https://en.wikipedia.org/wiki/Northern_Skirts,https://en.wikipedia.org/wiki/Barbara_Albert
1086,Not One Less,Yi ge dou bu neng shao,Zhang Yimou,China,1,venice,1999,https://en.wikipedia.org/wiki/Not_One_Less,https://en.wikipedia.org/wiki/Zhang_Yimou
1087,A Pornographic Affair,Une liaison pornographique,Frédéric Fonteyne,"Belgium, France, Switzerland, Luxembourg",0,venice,1999,https://en.wikipedia.org/wiki/Une_liaison_pornographique,https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Fonteyne
1088,Seventeen Years,Guo nian hui jia,Zhang Yuan,China,0,venice,1999,https://en.wikipedia.org/wiki/Seventeen_Years_(film),https://en.wikipedia.org/wiki/Zhang_Yuan_(director)
1089,Topsy-Turvy,N/A,Mike Leigh,United Kingdom,0,venice,1999,https://en.wikipedia.org/wiki/Topsy-Turvy,https://en.wikipedia.org/wiki/Mike_Leigh
1090,Until Tomorrow,A domani,Gianni Zanasi,Italy,0,venice,1999,N/A,https://en.wikipedia.org/wiki/Gianni_Zanasi
1091,The Venice Project,N/A,Robert Dornhelm,"United States, Austria",0,venice,1999,https://en.wikipedia.org/wiki/The_Venice_Project,https://en.wikipedia.org/wiki/Robert_Dornhelm
1092,A Week in the Life of a Man,Tydzien z zycia mezczyzny,Jerzy Stuhr,Poland,0,venice,1999,N/A,https://en.wikipedia.org/wiki/Jerzy_Stuhr
1093,The Wind Will Carry Us,Bad ma ra khahad bord,Abbas Kiarostami,"Iran, France",0,venice,1999,https://en.wikipedia.org/wiki/The_Wind_Will_Carry_Us,https://en.wikipedia.org/wiki/Abbas_Kiarostami
1094,Before Night Falls,N/A,Julian Schnabel,United States,0,venice,2000,https://en.wikipedia.org/wiki/Before_Night_Falls_(film),https://en.wikipedia.org/wiki/Julian_Schnabel
1095,The Circle,Dayereh,Jafar Panahi,"Iran, Italy, Switzerland",1,venice,2000,https://en.wikipedia.org/wiki/The_Circle_(2000_film),https://en.wikipedia.org/wiki/Jafar_Panahi
1096,Comedy of Innocence,Comédie de l'innocence,Raoul Ruiz,France,0,venice,2000,https://en.wikipedia.org/wiki/Comedy_of_Innocence,https://en.wikipedia.org/wiki/Raoul_Ruiz
1097,Denti,N/A,Gabriele Salvatores,Italy,0,venice,2000,https://en.wikipedia.org/wiki/Denti,https://en.wikipedia.org/wiki/Gabriele_Salvatores
1098,Dr. T & the Women,N/A,Robert Altman,"United States, Germany",0,venice,2000,https://en.wikipedia.org/wiki/Dr._T_%26_the_Women,https://en.wikipedia.org/wiki/Robert_Altman
1099,Durian Durian,Liulian piao piao,Fruit Chan,Hong Kong,0,venice,2000,https://en.wikipedia.org/wiki/Durian_Durian,https://en.wikipedia.org/wiki/Fruit_Chan
1100,O Fantasma,N/A,João Pedro Rodrigues,Portugal,0,venice,2000,https://en.wikipedia.org/wiki/O_Fantasma,https://en.wikipedia.org/wiki/Jo%C3%A3o_Pedro_Rodrigues
1101,Freedom,Laisvė,Sharunas Bartas,"Lithuania, France, Portugal",0,venice,2000,https://en.wikipedia.org/wiki/Freedom_(2000_film),https://en.wikipedia.org/wiki/Sharunas_Bartas
1102,The Goddess of 1967,N/A,Clara Law,Australia,0,venice,2000,https://en.wikipedia.org/wiki/The_Goddess_of_1967,https://en.wikipedia.org/wiki/Clara_Law
1103,Holy Tongue,La lingua del santo,Carlo Mazzacurati,Italy,0,venice,2000,https://en.wikipedia.org/wiki/Holy_Tongue,https://en.wikipedia.org/wiki/Carlo_Mazzacurati
1104,The Isle,Seom,Ki-duk Kim,South Korea,0,venice,2000,https://en.wikipedia.org/wiki/The_Isle,https://en.wikipedia.org/wiki/Ki-duk_Kim
1105,Johnny the Partisan,Il partigiano Johnny,Guido Chiesa,Italy,0,venice,2000,https://en.wikipedia.org/wiki/Johnny_the_Partisan,https://en.wikipedia.org/wiki/Guido_Chiesa
1106,Liam,N/A,Stephen Frears,"USA, UK, Germany, Italy, France",0,venice,2000,https://en.wikipedia.org/wiki/Liam_(film),https://en.wikipedia.org/wiki/Stephen_Frears
1107,The Man Who Cried,N/A,Sally Potter,"United Kingdom, France",0,venice,2000,https://en.wikipedia.org/wiki/The_Man_Who_Cried,https://en.wikipedia.org/wiki/Sally_Potter
1108,One Hundred Steps,I cento passi,Marco Tullio Giordana,Italy,0,venice,2000,https://en.wikipedia.org/wiki/One_Hundred_Steps,https://en.wikipedia.org/wiki/Marco_Tullio_Giordana
1109,Our Lady of the Assassins,La virgen de los sicarios,Barbet Schroeder,"Colombia, Spain, France",0,venice,2000,https://en.wikipedia.org/wiki/Our_Lady_of_the_Assassins_(film),https://en.wikipedia.org/wiki/Barbet_Schroeder
1110,Platform,Zhantai,Jia Zhangke,China,0,venice,2000,https://en.wikipedia.org/wiki/Platform_(2000_film),https://en.wikipedia.org/wiki/Jia_Zhangke
1111,To Matthieu,Selon Matthieu,Xavier Beauvois,France,0,venice,2000,https://en.wikipedia.org/wiki/To_Matthieu,https://en.wikipedia.org/wiki/Xavier_Beauvois
1112,Uttara,N/A,Buddhadev Dasgupta,India,0,venice,2000,https://en.wikipedia.org/wiki/Uttara_(film),https://en.wikipedia.org/wiki/Buddhadev_Dasgupta
1113,Word and Utopia,Palavra e Utopia,Manoel de Oliveira,Portugal,0,venice,2000,https://en.wikipedia.org/wiki/Word_and_Utopia,https://en.wikipedia.org/wiki/Manoel_de_Oliveira
1114,Address Unknown,Suchwiin bulmyeong,Ki-duk Kim,South Korea,0,venice,2001,https://en.wikipedia.org/wiki/Address_Unknown_(2001_film),https://en.wikipedia.org/wiki/Ki-duk_Kim
1115,The Afternoon of a Torturer,Dupa-amiaza unui tortionar,Lucian Pintilie,Romania,0,venice,2001,https://en.wikipedia.org/wiki/The_Afternoon_of_a_Torturer,https://en.wikipedia.org/wiki/Lucian_Pintilie
1116,Behind the Sun,Abril Despedaçado,Walter Salles,"Brazil, France, Switzerland",0,venice,2001,https://en.wikipedia.org/wiki/Behind_the_Sun_(film),https://en.wikipedia.org/wiki/Walter_Salles
1117,Bully,N/A,Larry Clark,United States,0,venice,2001,https://en.wikipedia.org/wiki/Bully_(2001_film),https://en.wikipedia.org/wiki/Larry_Clark
